name,short_name,type_ru,justification,lng,nearest_distance_m,nearest_monument,article,score
Краснопресненская обсерватория МГУ,Краснопресненская обсерватория МГУ,необычное здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. До ближайшего монумента — «Cheapshot HQ», около 1.55 км.",37.56866808,1554,Cheapshot HQ,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%BF%D1%80%D0%B5%D1%81%D0%BD%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D1%81%D0%B5%D1%80%D0%B2%D0%B0%D1%82%D0%BE%D1%80%D0%B8%D1%8F_%D0%9C%D0%93%D0%A3,72
Белые сады,Белые сады,необычное здание,"Место для прогулки и передышки от плотной городской застройки. До ближайшего монумента — «Всем влюбленным», около 1.55 км.",37.588611111,1547,Всем влюбленным,https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8B%D0%B5_%D1%81%D0%B0%D0%B4%D1%8B,72
Новоспасский монастырь,Новоспасский монастырь,исторический храм / монастырь,"Ставропигиальный мужской монастырь РПЦ в Москве. До ближайшего монумента — «Усадьба Ардалионова», около 1.53 км.",37.6562,1534,Усадьба Ардалионова,https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D1%81%D0%BF%D0%B0%D1%81%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%BE%D0%BD%D0%B0%D1%81%D1%82%D1%8B%D1%80%D1%8C,72
Центр драматургии и режиссуры,Театр Центр драматургии,театр,"Театральная площадка для молодых режиссёров, драматургов, артистов, художников. До ближайшего монумента — «Купание коней», около 1.53 км.",37.533307,1531,Купание коней,https://ru.wikipedia.org/wiki/%D0%A6%D0%B5%D0%BD%D1%82%D1%80_%D0%B4%D1%80%D0%B0%D0%BC%D0%B0%D1%82%D1%83%D1%80%D0%B3%D0%B8%D0%B8_%D0%B8_%D1%80%D0%B5%D0%B6%D0%B8%D1%81%D1%81%D1%83%D1%80%D1%8B,72
Белорусский вокзал,Белорусский вокзал,вокзал / транспортный объект,"Вокзал в Москве. До ближайшего монумента — «Купание коней», около 1.53 км.",37.58175653,1527,Купание коней,https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%BE%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9_%D0%B2%D0%BE%D0%BA%D0%B7%D0%B0%D0%BB,72
Комплекс жилых домов на Октябрьском поле,Комплекс жилых домов,знаковое современное здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. До ближайшего монумента — «Octod Tower», около 1.50 км.",37.488644,1502,Octod Tower,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81_%D0%B6%D0%B8%D0%BB%D1%8B%D1%85_%D0%B4%D0%BE%D0%BC%D0%BE%D0%B2_%D0%BD%D0%B0_%D0%9E%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C%D1%81%D0%BA%D0%BE%D0%BC_%D0%BF%D0%BE%D0%BB%D0%B5,72
Андреевский монастырь,Андреевский монастырь,исторический храм / монастырь,"Ставропигиальный мужской монастырь Русской православной церкви. До ближайшего монумента — «Арена Лужники», около 1.49 км.",37.575194444,1491,Арена Лужники,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%BE%D0%BD%D0%B0%D1%81%D1%82%D1%8B%D1%80%D1%8C_(%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0),72
Городская усадьба К. И. Доброхотова,Усадьба Доброхотова,усадьба / дворец / особняк,"Подойдёт для спокойного знакомства с московской усадебной архитектурой. До ближайшего монумента — «Колокольня», около 1.48 км.",37.66291932,1475,Колокольня,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D1%83%D1%81%D0%B0%D0%B4%D1%8C%D0%B1%D0%B0_%D0%9A._%D0%98._%D0%94%D0%BE%D0%B1%D1%80%D0%BE%D1%85%D0%BE%D1%82%D0%BE%D0%B2%D0%B0,72
Дом правительства РФ,Дом правительства РФ,необычное здание,"Административное здание в Москве. До ближайшего монумента — «Cheapshot HQ», около 1.47 км.",37.572968,1473,Cheapshot HQ,https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC_%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%B0_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%A4%D0%B5%D0%B4%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D0%B8,72
Трёхгорная мануфактура,Трёхгорная мануфактура,необычное здание,"Старейшее московское текстильное предприятие. До ближайшего монумента — «Пионер», около 1.44 км.",37.56277778,1443,Пионер,https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D1%91%D1%85%D0%B3%D0%BE%D1%80%D0%BD%D0%B0%D1%8F_%D0%BC%D0%B0%D0%BD%D1%83%D1%84%D0%B0%D0%BA%D1%82%D1%83%D1%80%D0%B0,72
Востряково,Востряково,необычное здание,"Микрорайон в Москве. До ближайшего монумента — «Panda park», около 1.44 км.",37.42111111,1435,Panda park,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%81%D1%82%D1%80%D1%8F%D0%BA%D0%BE%D0%B2%D0%BE_(%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0),72
Московский драматический театр имени Рубена Симонова,Театр Симонова,театр,"Камерная культурная точка для тех, кто ищет районную сцену. До ближайшего монумента — «Cheapshot HQ», около 1.43 км.",37.5927,1427,Cheapshot HQ,https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%B4%D1%80%D0%B0%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D1%82%D0%B5%D0%B0%D1%82%D1%80_%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8_%D0%A0%D1%83%D0%B1%D0%B5%D0%BD%D0%B0_%D0%A1%D0%B8%D0%BC%D0%BE%D0%BD%D0%BE%D0%B2%D0%B0,72
Арбат-опера,Театр Арбат-опера,театр,"Камерная культурная точка для тех, кто ищет районную сцену. До ближайшего монумента — «Cheapshot HQ», около 1.42 км.",37.592,1416,Cheapshot HQ,https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%B1%D0%B0%D1%82-%D0%BE%D0%BF%D0%B5%D1%80%D0%B0,72
Перронный зал (Останкинский),Перронный зал,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть выявленный охранный статус. До ближайшего монумента — «Ростокинский акведук», около 1.18 км.",37.6414186,1182,Ростокинский акведук,,72
Хлебозавод № 11 имени А. Микояна (Останкинский),Хлебозавод Микояна,историческое здание,"Напоминает об индустриальном слое московской архитектуры. Сохраняет признаки объекта наследия. До ближайшего монумента — «Останкинская башня», около 1.14 км.",37.621496,1136,Останкинская башня,,72
Северный наземный вестибюль (Останкинский),Северный наземный вестибюль,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть выявленный охранный статус. До ближайшего монумента — «Ростокинский акведук», около 1.09 км.",37.6414508,1090,Ростокинский акведук,,72
Историко-мемориальный музей «Пресня»,Музей Пресня,музей,"Хороший вариант для короткого визита, если интересны экспозиции и локальные коллекции. Есть федеральный охранный статус. До ближайшего монумента — «Cheapshot HQ», около 1.39 км.",37.57102778,1388,Cheapshot HQ,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B5%D1%81%D0%BD%D1%8F_(%D0%BC%D1%83%D0%B7%D0%B5%D0%B9),70
Государственный мемориальный музей А. Н. Скрябина,Музей Скрябина,музей,"Хороший вариант для короткого визита, если интересны экспозиции и локальные коллекции. Есть федеральный охранный статус. До ближайшего монумента — «Cheapshot HQ», около 1.27 км.",37.59010556,1269,Cheapshot HQ,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%BC%D0%B5%D0%BC%D0%BE%D1%80%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BC%D1%83%D0%B7%D0%B5%D0%B9_%D0%90._%D0%9D._%D0%A1%D0%BA%D1%80%D1%8F%D0%B1%D0%B8%D0%BD%D0%B0,70
Винзавод,Музей Винзавод,музей,"Хороший вариант для короткого визита, если интересны экспозиции и локальные коллекции. Есть региональный охранный статус. До ближайшего монумента — «Усадьба Морозовых», около 1.21 км.",37.66444645,1206,Усадьба Морозовых,https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BD%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4,70
Крутицкое подворье,Музей Крутицкое подворье,музей,"Бывшая резиденция епископов Сарских и Подонских, образованная в XIII веке в Москве. До ближайшего монумента — «Футболисты», около 1.20 км.",37.658333333,1196,Футболисты,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%83%D1%82%D0%B8%D1%86%D0%BA%D0%BE%D0%B5_%D0%BF%D0%BE%D0%B4%D0%B2%D0%BE%D1%80%D1%8C%D0%B5,70
Центральный Дом кино,Театр Дом кино,театр,"Творческий клуб деятелей киноискусства. До ближайшего монумента — «Cheapshot HQ», около 1.17 км.",37.58794592,1174,Cheapshot HQ,https://ru.wikipedia.org/wiki/%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%B4%D0%BE%D0%BC_%D0%BA%D0%B8%D0%BD%D0%BE,70
Музей К. Маркса и Ф. Энгельса,Музей Маркса,музей,"Хороший вариант для короткого визита, если интересны экспозиции и локальные коллекции. Есть региональный охранный статус. До ближайшего монумента — «Пётр l», около 1.13 км.",37.60301965,1131,Пётр l,https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%B7%D0%B5%D0%B9_%D0%9A._%D0%9C%D0%B0%D1%80%D0%BA%D1%81%D0%B0_%D0%B8_%D0%A4._%D0%AD%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%B0,70
Музей шахмат,Музей шахмат,музей,"Хороший вариант для короткого визита, если интересны экспозиции и локальные коллекции. Есть региональный охранный статус. До ближайшего монумента — «Пётр l», около 1.13 км.",37.60120506,1130,Пётр l,https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%B7%D0%B5%D0%B9_%D1%88%D0%B0%D1%85%D0%BC%D0%B0%D1%82,70
Мемориальный музей-усадьба Л. Н. Толстого «Хамовники»,Музей Хамовники,музей,"Музей, расположенный в доме писателя в Хамовниках. До ближайшего монумента — «Фигурный фонтан», около 1.09 км.",37.585861,1093,Фигурный фонтан,https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%B7%D0%B5%D0%B9-%D1%83%D1%81%D0%B0%D0%B4%D1%8C%D0%B1%D0%B0_%D0%9B%D1%8C%D0%B2%D0%B0_%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B3%D0%BE_%D0%B2_%D0%A5%D0%B0%D0%BC%D0%BE%D0%B2%D0%BD%D0%B8%D0%BA%D0%B0%D1%85,70
Музей животноводства имени Е. Ф. Лискуна,Музей Лискуна,музей,"Хороший вариант для короткого визита, если интересны экспозиции и локальные коллекции. Есть федеральный охранный статус. До ближайшего монумента — «Tram station», около 1.08 км.",37.551762,1085,Tram station,https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%B7%D0%B5%D0%B9_%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%B0_%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8_%D0%95._%D0%A4._%D0%9B%D0%B8%D1%81%D0%BA%D1%83%D0%BD%D0%B0,70
Дом-музей И. В. Курчатова в Москве,Музей Курчатова,музей,"Хороший вариант для короткого визита, если интересны экспозиции и локальные коллекции. До ближайшего монумента — «Octod Tower», около 2.09 км.",37.4765205,2086,Octod Tower,,68
"Храм Святых мучениц Веры, Надежды, Любови и премудрой матери их Софии",Храм мучениц Веры,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. До ближайшего монумента — «Пять Дубов», около 2.00 км.",37.49591667,2004,Пять Дубов,"https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%92%D0%B5%D1%80%D1%8B,_%D0%9D%D0%B0%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B,_%D0%9B%D1%8E%D0%B1%D0%BE%D0%B2%D0%B8_%D0%B8_%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D0%B8_%D0%B8%D1%85_%D0%A1%D0%BE%D1%84%D0%B8%D0%B8_%D0%BF%D1%80%D0%B8_%D0%9D%D0%9C%D0%98%D0%A6_%D0%94%D0%93%D0%9E%D0%98_%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D1%8F_%D0%A0%D0%BE%D0%B3%D0%B0%D1%87%D1%91%D0%B2%D0%B0",68
Храм Покрова Пресвятой Богородицы в Ясеневе,Храм Покрова Богородицы,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. До ближайшего монумента — «Усадьба Ясенево», около 2.00 км.",37.539933,2004,Усадьба Ясенево,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%9F%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D0%B0_%D0%9F%D1%80%D0%B5%D1%81%D0%B2%D1%8F%D1%82%D0%BE%D0%B9_%D0%91%D0%BE%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%86%D1%8B_%D0%B2_%D0%AF%D1%81%D0%B5%D0%BD%D0%B5%D0%B2%D0%B5,68
Храм Георгия Победоносца в Коптеве,Храм Георгия Победоносца,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. До ближайшего монумента — «Ерунда», около 1.93 км.",37.530108333,1926,Ерунда,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D1%8F_%D0%9F%D0%BE%D0%B1%D0%B5%D0%B4%D0%BE%D0%BD%D0%BE%D1%81%D1%86%D0%B0_%D0%B2_%D0%9A%D0%BE%D0%BF%D1%82%D0%B5%D0%B2%D0%B5,68
Храм Спиридона Тримифунтского в Коптево (Москва),Храм Спиридона Тримифунтского,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. До ближайшего монумента — «Ерунда», около 1.85 км.",37.528122059,1846,Ерунда,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%A1%D0%BF%D0%B8%D1%80%D0%B8%D0%B4%D0%BE%D0%BD%D0%B0_%D0%A2%D1%80%D0%B8%D0%BC%D0%B8%D1%84%D1%83%D0%BD%D1%82%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%B2_%D0%9A%D0%BE%D0%BF%D1%82%D0%B5%D0%B2%D0%B5,68
Слесарная и контора (Савёловский),Слесарная контора,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Считается ценной частью городской среды. До ближайшего монумента — «Еврейский музей», около 1.80 км.",37.581157,1798,Еврейский музей,,68
Здание уборной станции Серебряный Бор,Здание уборной станции,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть региональный охранный статус. До ближайшего монумента — «ЦСКА Арена», около 1.80 км.",37.496046,1797,ЦСКА Арена,,68
"Улица Строителей 4 строения 1-3, гараж",Улица Строителей 4,историческое здание,"Напоминает об индустриальном слое московской архитектуры. Считается ценной частью городской среды. До ближайшего монумента — «МГУ», около 1.80 км.",37.53572,1797,МГУ,,68
Парк Легенд,Парк Легенд,знаковое городское место,"Проект переустройства части территории бывшего ЗИЛа. До ближайшего монумента — «Дом-корабль», около 1.79 км.",37.645901,1793,Дом-корабль,,68
Помещение для багажа станции Серебряный Бор,Помещение багажа станции,историческое здание,"Историческое здание на железнодорожной станции в Москве. До ближайшего монумента — «Ерунда», около 1.79 км.",37.495542,1793,Ерунда,,68
Фабрично-прядильный корпус (Савёловский),Фабрично-прядильный корпус,историческое здание,"Выделяется силуэтом или масштабом в окружающей застройке. Считается ценной частью городской среды. До ближайшего монумента — «Путевой дворец», около 1.79 км.",37.580247,1788,Путевой дворец,,68
Стадион Медик,Стадион Медик,спортивная арена / стадион,"Стадион в Москва. До ближайшего монумента — «Полёт», около 1.79 км.",37.39374,1786,Полёт,,68
Перронный зал станции метро Рижская,Перронный зал станции,историческое здание,"Интересно как часть городской инфраструктуры и повседневного движения Москвы. Есть выявленный охранный статус. До ближайшего монумента — «Аптекарский огород», около 1.79 км.",37.63645,1786,Аптекарский огород,,68
Котельная (Савёловский),Котельная,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Считается ценной частью городской среды. До ближайшего монумента — «Путевой дворец», около 1.78 км.",37.580032,1782,Путевой дворец,,68
Флигель (Филимонки),Флигель,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть федеральный охранный статус. До ближайшего монумента — «Беседка ""Прибрежная""», около 1.78 км.",37.35319,1781,"Беседка ""Прибрежная""",,68
Ансамбль шелкопрядильной фабрики «Французского Анонимного общества прядилен коконного отброса в России» (Савёловский),Ансамбль шелкопрядильной фабрики,историческое здание,"Напоминает об индустриальном слое московской архитектуры. Считается ценной частью городской среды. До ближайшего монумента — «Путевой дворец», около 1.78 км.",37.579953,1781,Путевой дворец,,68
Конный двор (Ясенево),Конный двор,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть федеральный охранный статус. До ближайшего монумента — «Bitsa forest», около 1.78 км.",37.53913147,1779,Bitsa forest,,68
Жилой корпус (Савёловский),Жилой корпус,историческое здание,"Выделяется силуэтом или масштабом в окружающей застройке. Считается ценной частью городской среды. До ближайшего монумента — «Еврейский музей», около 1.78 км.",37.581857,1779,Еврейский музей,,68
Беседка им. 800-летия Москвы с партером и фонтанами (Якиманка),Беседка им. 800-летия,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть выявленный охранный статус. До ближайшего монумента — «Фигурный фонтан», около 1.77 км.",37.585889,1772,Фигурный фонтан,,68
Отделение Сибирского торгового банка с оградой (Таганский),Отделение Сибирского торгового,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть выявленный охранный статус. До ближайшего монумента — «Усадьба Морозовых», около 1.77 км.",37.683277,1771,Усадьба Морозовых,,68
"Комплекс зданий Фабрики брезентов, ремней, клеенок и непромокаемых тканей товарищества «Франк Реддавей и Ко» (Можайский)",Комплекс зданий Фабрики,знаковое современное здание,"Напоминает об индустриальном слое московской архитектуры. Есть региональный охранный статус. До ближайшего монумента — «Полёт», около 1.77 км.",37.410457,1770,Полёт,,68
Учебно-лечебный корпус Государственного Протезного завода (Донской),Учебно-лечебный корпус Государственного,историческое здание,"Выделяется силуэтом или масштабом в окружающей застройке. Считается ценной частью городской среды. До ближайшего монумента — «Дом-корабль», около 1.76 км.",37.593664,1760,Дом-корабль,,68
Кухня (Куркино),Кухня,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть федеральный охранный статус. До ближайшего монумента — «Японская ярмарка», около 1.76 км.",37.38277071,1757,Японская ярмарка,,68
Жилой корпус «Товарищества Прохоровской Трёхгорной мануфактуры» (Пресненский),Жилой корпус Товарищества,историческое здание,"Выделяется силуэтом или масштабом в окружающей застройке. Есть региональный охранный статус. До ближайшего монумента — «Пионер», около 1.76 км.",37.565065,1757,Пионер,,68
Морг (Куркино),Морг,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть федеральный охранный статус. До ближайшего монумента — «Японская ярмарка», около 1.75 км.",37.38452243,1755,Японская ярмарка,,68
Сторожка (Савёловский),Сторожка,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Считается ценной частью городской среды. До ближайшего монумента — «Еврейский музей», около 1.75 км.",37.581863,1755,Еврейский музей,,68
Рабочая казарма (Савёловский),Рабочая казарма,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Сохраняет признаки объекта наследия. До ближайшего монумента — «Путевой дворец», около 1.75 км.",37.579809,1753,Путевой дворец,,68
здание мастерских депо Лихоборы,Здание мастерских депо,историческое здание,"Интересно как часть городской инфраструктуры и повседневного движения Москвы. Есть региональный охранный статус. До ближайшего монумента — «НАМИ», около 1.75 км.",37.517424,1750,НАМИ,,68
Производственный цех (восточный) (Можайский),Производственный цех восточный,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть региональный охранный статус. До ближайшего монумента — «Полёт», около 1.75 км.",37.411524,1750,Полёт,,68
Дом директора фабрики (Савёловский),Дом директора фабрики,историческое здание,"Напоминает об индустриальном слое московской архитектуры. Считается ценной частью городской среды. До ближайшего монумента — «Еврейский музей», около 1.75 км.",37.581271,1746,Еврейский музей,,68
Дом с гастрономом «Смоленский» (Торгсин) (Арбат),Дом гастрономом Смоленский,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Сохраняет признаки объекта наследия. До ближайшего монумента — «Cheapshot HQ», около 1.74 км.",37.58309,1743,Cheapshot HQ,,68
Перекопская улица 7 c2,Перекопская улица 7,историческое здание,"Сторожка. Историческое здание в Москве, памятник архитектуры. До ближайшего монумента — «龙庙», около 1.74 км.",37.58049889,1739,龙庙,,68
Корпус для мужчин-хроников им. Ф.Я. Ермакова (Донской),Корпус мужчин-хроников им,историческое здание,"Выделяется силуэтом или масштабом в окружающей застройке. Есть выявленный охранный статус. До ближайшего монумента — «Дом-корабль», около 1.74 км.",37.60316338,1739,Дом-корабль,,68
Здание уборной (Донской),Здание уборной,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть региональный охранный статус. До ближайшего монумента — «Первая Хрущёвка», около 1.74 км.",37.59127,1739,Первая Хрущёвка,,68
Музей радио и радиолюбительства имени Э. Т. Кренкеля,Музей Кренкеля,музей,"Музей радио и радиолюбительства имени Э. Т. До ближайшего монумента — «Московские Кольца», около 1.74 км.",37.756147,1738,Московские Кольца,https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%B7%D0%B5%D0%B9_%D1%80%D0%B0%D0%B4%D0%B8%D0%BE_%D0%B8_%D1%80%D0%B0%D0%B4%D0%B8%D0%BE%D0%BB%D1%8E%D0%B1%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%B0_%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8_%D0%AD._%D0%A2._%D0%9A%D1%80%D0%B5%D0%BD%D0%BA%D0%B5%D0%BB%D1%8F,68
Производственный цех (западный) (Можайский),Производственный цех западный,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть региональный охранный статус. До ближайшего монумента — «Полёт», около 1.74 км.",37.410968,1738,Полёт,,68
Часовня (Донской),Часовня,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. Есть охранный статус. До ближайшего монумента — «Фигурный фонтан», около 1.74 км.",37.59333581,1737,Фигурный фонтан,,68
Приёмный покой и больница (Савёловский),Приёмный покой больница,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Считается ценной частью городской среды. До ближайшего монумента — «Еврейский музей», около 1.74 км.",37.581899,1737,Еврейский музей,,68
Перронный зал метро Смоленская Арбатско-Покровской линии (Арбат),Перронный зал метро,историческое здание,"Интересно как часть городской инфраструктуры и повседневного движения Москвы. Есть выявленный охранный статус. До ближайшего монумента — «Cheapshot HQ», около 1.74 км.",37.58207,1737,Cheapshot HQ,,68
Ансамбль жилой застройки (Гагаринский),Ансамбль жилой застройки,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Считается ценной частью городской среды. До ближайшего монумента — «МГУ», около 1.74 км.",37.536999,1735,МГУ,,68
Эскалаторные спуски станции метро Рижская,Эскалаторные спуски станции,историческое здание,"Интересно как часть городской инфраструктуры и повседневного движения Москвы. Есть выявленный охранный статус. До ближайшего монумента — «Аптекарский огород», около 1.73 км.",37.63633,1731,Аптекарский огород,,68
Гостиница «Общества пролетарского туризма и экскурсий» (Арбат),Гостиница Общества пролетарского,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Сохраняет признаки объекта наследия. До ближайшего монумента — «Пётр l», около 1.73 км.",37.584781,1731,Пётр l,,68
Рабочая казарма (Савёловский),Рабочая казарма,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Сохраняет признаки объекта наследия. До ближайшего монумента — «Путевой дворец», около 1.73 км.",37.579426,1728,Путевой дворец,,68
Пассажирское здание (Донской),Пассажирское здание,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть региональный охранный статус. До ближайшего монумента — «Первая Хрущёвка», около 1.73 км.",37.59174,1727,Первая Хрущёвка,,68
Ансамбль построек Рублёвской насосной станции Московского водопровода (Кунцево),Ансамбль построек Рублёвской,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Сохраняет признаки объекта наследия. До ближайшего монумента — «🦸🏼‍♂️ Pugovka», около 1.73 км.",37.345995,1726,🦸🏼‍♂️ Pugovka,,68
Преображенская психиатрическая больница (Котовская часть) (Преображенское),Преображенская психиатрическая больница,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Считается ценной частью городской среды. До ближайшего монумента — «Дворец на Яузе», около 1.72 км.",37.702708,1724,Дворец на Яузе,,68
Больница (Донской),Больница,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть охранный статус. До ближайшего монумента — «Фигурный фонтан», около 1.72 км.",37.59354243,1721,Фигурный фонтан,,68
Административное здание (Текстильщики),Административное здание,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Считается ценной частью городской среды. До ближайшего монумента — «Скульптура из дерева», около 1.72 км.",37.7421,1720,Скульптура из дерева,,68
Ремесленное училище (Алексеевский),Ремесленное училище,историческое здание,"Заметный след старой образовательной городской среды. Есть региональный охранный статус. До ближайшего монумента — «Большой розарий», около 1.72 км.",37.65378345,1718,Большой розарий,,68
Новоконюшенный переулок 9 c2,Новоконюшенный переулок 9,историческое здание,"Дом, в котором в 1869-1874 гг. До ближайшего монумента — «Фигурный фонтан», около 1.72 км.",37.58009465,1717,Фигурный фонтан,,68
Фонарные столбы перрона (восемь) (Донской),Фонарные столбы перрона,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть региональный охранный статус. До ближайшего монумента — «Первая Хрущёвка», около 1.72 км.",37.59147,1715,Первая Хрущёвка,,68
4-й Ростовский переулок 1 c2,4-й Ростовский переулок,историческое здание,"Дом неклассного художника А.К. До ближайшего монумента — «Пионер», около 1.71 км.",37.57709427,1711,Пионер,,68
Ограда вдоль Ленинского проспекта (Донской),Ограда вдоль Ленинского,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть охранный статус. До ближайшего монумента — «Фигурный фонтан», около 1.71 км.",37.5919,1711,Фигурный фонтан,,68
